dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyCyst,fold_3,neg_104.nii.gz,,11.780950793429641,62.07425068119891
KidneyCyst,fold_3,neg_106.nii.gz,,38.925597487438246,7.588356854838709
KidneyCyst,fold_3,neg_114.nii.gz,,6.947378178137699,19.85234899328859
KidneyCyst,fold_4,cyst_005.nii.gz,111.86235242053314,23.517607648881565,42.86442220200182
KidneyCyst,fold_4,cyst_012.nii.gz,208.94681007695175,9.232834751576622,43.280590717299575
KidneyCyst,fold_4,cyst_022.nii.gz,189.4015220724251,14.144702873373511,14.618494423791821
KidneyCyst,fold_4,cyst_023.nii.gz,70.22059618352718,31.425167902239718,14.030128395270985
KidneyCyst,fold_4,cyst_029.nii.gz,53.98908398142938,16.476763467399454,5.4121372031662265
KidneyCyst,fold_4,cyst_034.nii.gz,124.52400785283797,12.058625365075807,3.9582971329278887
KidneyCyst,fold_4,cyst_036.nii.gz,7.737659596906396,45.60148892561029,2.7648901872341716
KidneyCyst,fold_4,cyst_038.nii.gz,212.40826577996955,16.69348055703889,28.352941176470587
KidneyCyst,fold_4,cyst_041.nii.gz,59.43272220654211,27.35395621294925,16.609804677460808
KidneyCyst,fold_4,cyst_043.nii.gz,,0.0,
KidneyCyst,fold_4,cyst_059.nii.gz,78.89182076642456,26.05755180697634,16.96112633939696
KidneyCyst,fold_4,cyst_062.nii.gz,301.6077625771868,43.37460619203224,4.976583961976192
KidneyCyst,fold_4,cyst_064.nii.gz,182.96182609546668,29.96732946920966,15.030921459492887
KidneyCyst,fold_4,cyst_072.nii.gz,137.71141629594447,17.77833373460574,28.725426482534523
KidneyCyst,fold_4,cyst_074.nii.gz,129.55362637058136,33.42295796665084,20.637137221752607
KidneyCyst,fold_4,cyst_076.nii.gz,71.95460607710382,10.505618069408113,45.00325732899023
KidneyCyst,fold_4,cyst_077.nii.gz,126.21295629046465,9.538147628711043,28.014903129657228
KidneyCyst,fold_4,cyst_080.nii.gz,91.61104415377011,11.252257094147787,75.78101265822785
KidneyCyst,fold_4,cyst_081.nii.gz,209.49559260354977,39.60678738710093,22.90615858060104
KidneyCyst,fold_4,cyst_082.nii.gz,215.52475576507186,12.122162636273968,45.874233128834355
KidneyCyst,fold_4,cyst_083.nii.gz,221.69288104154268,21.221244195300045,13.325900514579759
KidneyCyst,fold_4,cyst_088.nii.gz,118.03746769783558,13.941187574950382,29.850790513833992
KidneyCyst,fold_4,cyst_091.nii.gz,131.97686803508236,22.183327179720344,31.254515599343186
KidneyCyst,fold_4,cyst_105.nii.gz,1.6159084993650823,42.09498302553156,9.130410365437843
KidneyCyst,fold_4,cyst_107.nii.gz,101.5400359466762,23.68122251471294,19.1167292689974
KidneyCyst,fold_4,cyst_108.nii.gz,293.80635058115064,14.76460212698294,25.4246947082768
KidneyCyst,fold_4,cyst_118.nii.gz,149.9933627077119,11.963218477540698,69.76470588235294
KidneyCyst,fold_4,cyst_119.nii.gz,18.56859749671032,33.80543574769795,32.99775935469415
KidneyCyst,fold_4,cyst_124.nii.gz,212.2445621220733,18.06328526265815,23.88305030438962
KidneyCyst,fold_4,cyst_129.nii.gz,22.97574899201054,24.78571543687412,9.627636794386987
KidneyCyst,fold_4,cyst_133.nii.gz,112.58702999109954,27.494074633181416,44.99554813578186
KidneyCyst,fold_4,cyst_138.nii.gz,187.38424483603762,67.18297636202333,8.808500146600208
KidneyCyst,fold_4,cyst_142.nii.gz,224.21751382844622,43.08128512593837,12.808594744826213
KidneyCyst,fold_4,cyst_143.nii.gz,80.55421141766749,22.96513871144981,19.11630458635067
KidneyCyst,fold_4,cyst_146.nii.gz,67.78671691568577,30.836860056995572,23.440238738968525
KidneyCyst,fold_4,cyst_155.nii.gz,159.30730498091646,33.69982998835292,14.651861107955622
KidneyCyst,fold_4,cyst_166.nii.gz,119.9232654689119,13.477217722091895,27.644345238095237
KidneyCyst,fold_4,neg_008.nii.gz,0.0,0.0,
KidneyCyst,fold_4,neg_019.nii.gz,,3.4564904630686994,29.727272727272727
KidneyCyst,fold_4,neg_031.nii.gz,,2.68344387974042,65.46153846153847
KidneyCyst,fold_4,neg_038.nii.gz,,13.711063138326955,32.93397129186603
KidneyCyst,fold_4,neg_040.nii.gz,,23.43329446831992,17.106796116504853
KidneyCyst,fold_4,neg_054.nii.gz,,3.8028743336425217,3.675675675675676
KidneyCyst,fold_4,neg_056.nii.gz,,2.1135968471003,102.375
KidneyCyst,fold_4,neg_061.nii.gz,,3.5462935090630983,36.73076923076923
KidneyCyst,fold_4,neg_065.nii.gz,0.0,0.0,
KidneyCyst,fold_4,neg_077.nii.gz,0.0,0.0,
KidneyCyst,fold_4,neg_079.nii.gz,,18.516399176300208,39.121172638436484
KidneyCyst,fold_4,neg_082.nii.gz,,15.550426967328534,19.139159789947488
KidneyCyst,fold_4,neg_085.nii.gz,,24.970237481410496,5.010456796917997
KidneyCyst,fold_4,neg_087.nii.gz,,50.856577443364436,10.521634372367313
KidneyCyst,fold_4,neg_093.nii.gz,,32.15277276973207,16.67375134654515
KidneyCyst,fold_4,neg_097.nii.gz,,30.422506889353553,10.130645967761136
KidneyCyst,fold_4,neg_101.nii.gz,,36.37745664562196,22.550122675845067
KidneyCyst,fold_4,neg_113.nii.gz,,11.724652851328903,13.623022847100176
KidneyCyst,fold_4,neg_115.nii.gz,,17.139064256075166,25.170144462279293
KidneyCyst,fold_4,neg_116.nii.gz,,7.625531167019772,4.204413472706156
KidneyCyst,fold_4,neg_117.nii.gz,,21.80714059371391,11.83160265232078
