dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_2,multi_072.nii.gz,1.1048543456039805,105.21057852194663,95.72497177380609,221.12802444820633,13.972231261957004,36.03974358974359,0.0,0.0,,3.0,36.23723279328513,73.57602704490336
KidneyAbnormalities,fold_2,multi_076.nii.gz,1.89453125,70.67259522130009,113.32297593847707,26.543344608805175,12.493834008512152,46.00175746924429,0.0,0.0,,3.905676227391729,34.43103474551744,104.50885884625073
KidneyAbnormalities,fold_2,multi_081.nii.gz,1.8559456623936523,78.16533495541964,165.5502166330377,10.016955867001432,4.158206740410614,80.14285714285714,0.0,0.0,,3.9186463459427303,33.79169323557748,166.86639725099215
KidneyAbnormalities,fold_2,multi_085.nii.gz,0.736328125,90.86310801798324,140.83855165245623,87.4620368713466,25.221945266776313,17.820909970958375,0.0,0.0,,9.469681394991927,36.682852766246,37.62215229704216
KidneyAbnormalities,fold_2,multi_089.nii.gz,8.205199003066998,89.23973249287178,92.82383963192315,72.63798033663053,55.40379579672305,9.222376734484113,0.0,0.0,,43.4360278085589,34.17421845423579,16.635579028726006
KidneyAbnormalities,fold_2,multi_091.nii.gz,2.9251018799865385,85.36830751752709,111.97651384982434,25.99825378950314,29.954263370919016,20.54585374092214,0.0,0.0,,3.1706095459040875,65.71479237868243,103.39412333949151
KidneyAbnormalities,fold_2,multi_100.nii.gz,1.40625,93.73027801033774,170.4613273035406,1.988737822087165,25.584329858525706,66.93606224627875,0.0,0.0,,31.374296770715926,18.400357295550076,141.6016974840861
KidneyAbnormalities,fold_2,multi_106.nii.gz,4.573553621716147,86.69351189426257,109.5797664279259,30.466647125449338,47.64058591264008,25.53456136894543,0.0,0.0,,251.13068357968257,60.377450110425535,44.072981044423244
KidneyAbnormalities,fold_2,multi_107.nii.gz,105.54143029585308,95.9649868935476,139.0205538840834,41.38499843271758,30.74242413190102,23.255521131236097,0.0,0.0,,14.14340268315107,91.10972984712036,89.97376628925443
KidneyAbnormalities,fold_2,multi_114.nii.gz,1.2665951624982872,89.65913861981377,127.65648307377981,2.394549938835538,19.27583160908578,33.701417982597484,0.0,0.0,,196.5228023427792,28.533164043008348,94.70147548313379
KidneyAbnormalities,fold_2,multi_118.nii.gz,1.3810679320049757,103.28299622896678,111.62507976498672,2.2256851341567274,20.245494701113365,28.719929762949956,0.0,0.0,,2.1836601342771385,45.687812772180614,75.94171122994652
KidneyAbnormalities,fold_2,multi_119.nii.gz,1.0,86.5737776526225,170.63407598931613,2.37523127985729,15.15167554388855,56.8464479133482,0.0,0.0,,148.06943446460136,19.773632767678343,128.65357603554537
KidneyAbnormalities,fold_2,stone_000.nii.gz,1.2432964715317099,81.02768846443097,28.1511028153431,0.0,0.0,,0.7265625,10.74537095546156,441.7178612059158,0.0,0.0,
KidneyAbnormalities,fold_2,stone_003.nii.gz,1.2374368670764582,87.05994395341226,23.687770935994703,0.0,0.0,,1.5258194519667128,8.02733358132791,315.41342756183747,0.0,0.0,
KidneyAbnormalities,fold_2,stone_004.nii.gz,1.5224668883182289,75.28898513175967,26.727536256380784,0.0,0.0,,1.25,5.79657886131146,212.74074074074073,0.0,0.0,
KidneyAbnormalities,fold_2,stone_009.nii.gz,1.1435242477001197,94.39339981769517,19.97293029802283,0.0,0.0,,1.5,8.50974275245433,347.51063829787233,0.0,0.0,
KidneyAbnormalities,fold_2,stone_011.nii.gz,1.0244872427258258,73.65530735700061,24.868506384094058,0.0,0.0,,31.430931557235372,6.7219357433317635,208.98275862068965,0.0,0.0,
KidneyAbnormalities,fold_2,stone_016.nii.gz,0.697265625,78.23844927270214,25.166973000011634,0.0,0.0,,1.5,10.624229237203107,595.5191637630662,0.0,0.0,
KidneyAbnormalities,fold_2,stone_018.nii.gz,1.25,77.42010939383815,94.5914740588762,,6.808479809648932,26.025,3.7204306533004328,9.426697062990819,334.8100470957614,0.0,0.0,
KidneyAbnormalities,fold_2,stone_026.nii.gz,1.0496123026733577,80.31820952023085,112.0047359684878,,13.016396243780157,34.655933214072746,,0.0,,0.0,0.0,
